Fon_Sentence,French_Translation
e ká jló ná xlɛ́ măwù sín ali gbɛtɔ́ lɛ́ bĭ,il veut montrer le chemin de dieu à tous les hommes
mɛ gegé nɔ́ wlí ali énɛ́ ɔ́,beaucoup prennent ce chemin
nɛ̆ mì nà wá gbɔ̀n bó ná tuùn ali ɔ́,comment en connaîtrions-nous le chemin
un na lɛ jɛ ji ali ce,je continue mon chemin
a dó awu gudó,tu as mis ta chemise à l'envers
nù vá d'áwu towe wú,il y a une tache sur ta chemise
a ɖɔ axi vɛ,tu dis un prix cher
a nɔ sa nu v'axi din,tu vends trop cher
agbadé kpɔ̀ ɖĕbŭ xwè élɔ́ mɛ̀ ă,le maïs est cher cette année
e nyɔ e v'axi ă,okay ce n'est pas cher
é sà axi vivέ tɔ̀n,il a vendu cher
é v'áxì,c'est cher
e v'áxi dín,ça coûte trop cher
e xɔ'kwέ,c'est cher
mɛ ce lɛ́ mì,mes chers amis
nɔ̀ví cé lɛ́ mì,mes chers frères
un sɔ́ ɛ́ dó ɖó xɔ́ntɔ́n cé vívɛ́ná,je le considère comme mon ami très cher
xɔ́ntɔ́n cé vívɛ́ná wɛ̀,c'est mon cher ami
xɔ́ntɔ́n satɔ́ cé wɛ̀,c'est mon cher ami
a ɖo nuwlannu towe ba wɛ,tu cherches ton crayon
a nɔ kàn nù xwítíxwítí byɔ́ dín,tu cherches la petite bête
ba sin,chercher de l'eau
dŏ gàn bó yí gbe nú nùkánbyɔ́ élɔ́ lɛ́,cherche à répondre à cette question
ðò kléwun mɛ́ ɔ́ mì nɔ́ bà nyɔná,bref nous cherchons le bonheur
é ɖò azɔ wlɛnwín bá wɛ̀,il cherche du travail
e nɔ́ bà mɛmɛ mì,il cherche à s'approcher de moi
é yì nakí bá gbé,il est allé chercher du bois jumeaux
étɛ́ bá á ɖè,que cherches-tu
etɛ́ bá wɛ̀ mì nɔ́ ɖè,que cherchons-nous
ma bà dò nà ó,ne cherche pas à comprendre
mama ɖo nuɖe e na blo nu nuɖuɖu ɔ ba wɛ,maman cherche ce qu'elle va faire à dîner
mɛ ba mi ɖe,qui cherchez-vous
mɛ̀ bá wɛ̀ mì ka ɖè,qui cherchez-vous
mi nɔ́ bá ná d'asú alŏ asì,nous cherchons à nous marier
ba wɛ un ɖe,que je cherche
un b'ɛ́,je l'ai cherché
un ɖo biba we wɛ,je suis en train de te chercher
un ɖo  ba wɛ,je cherche
un tɔ́n gbè tówè,c'est toi que je cherche
un yì nakí bá gbé,je suis allé chercher du bois
zacé ɖò jezú bá ná mɔ́ wɛ̀ ɖó é nyɔ́ ɛ́ ɖɔ̀ é ɖò fínɛ́ ná gbɔ́n wɛ̀,zachée cherchait à voir jésus car il savait qu'il passerait par là
n'abɔɛ́ sé à kóɖó,tais-toi mon chéri
vì vìvɛ̀ná cè,mon fils chéri
e hwín,il est chétif
é jɛ̀ hlekéjè,il est devenu chétif
vì cé j'azɔn káká bó cí gánmágánmá,mon enfant a été très malade et est tout chétif
xɛvi kpodo sɔ kpo,le moineau et le cheval
ɖa lɛ,les cheveux
hwa ɖò ta cè,j'ai des cheveux blancs
gbɔsivi kpodo kpɔ kpo,la jeune chèvre et le léopard
ye ɖo adan na gblɔn wɛ ɖɔ emi na hu gbɔ lɛ bi,ils sont sur le point de tuer toutes les chèvres
a na wa gɔn ce kpo mi na ɖɔ xo kpɛɖe,viens chez moi et nous pourrons discuter
ɖo azɔn nu mɛ,provoquer la maladie chez quelqu'un
e hùn káká wá gɔ̆n cè,il a fait tout son possible pour venir chez moi
e nɔ w'azɔ ɖo nusatɔ lɛ gɔn,il travaille chez les commerçants
ɛɛn un ɖo xwe gbe,oui je suis chez moi
mɛ gɔ́n a xwè,chez qui vas-tu
un bɛ sìn ɖò gɔ̆n tɔ̀n,je me suis réfugié chez lui pour m'abriter de la pluie
un mɔ ɛ̀ ɖ'àlì mìtɔ́n xò,je l'ai vu sur la route de chez nous
un nɔ yi gɔ́n tɔn ɖáyi,j'allais chez lui
wá gɔ́n ce bó,viens donc chez moi
xɔ towe mɛ dó zìnflú,il fait sombre chez toi
xwe ce sin aga,au-dessus de chez moi
e ɖó bà n'í,il l'a chicotté
cuku dagbe wɛ,c'est un bon chien
e nyi cuku ă,ce n'est pas un chien
awu cè bì wóló,ma chemise est toute chiffonnée
é yì hă mɛ hú jigán,il est plus collant qu'une chique
é sɛ́ sɛ́ dó klɛɛ́n cé jí,il m'a donné une chiquenaude sur la joue
yĕ càn kɛkɛ́,ils ont fait un choc à vélo en se rencontrant
cyán ɖè é jló wé é,choisis ce que tu veux
hòxónɔ́ ou hòxó nɔ́ bà nakí ă é nɔ́ yí cyán nŭ,la mère des jumeaux ou les jumeaux ne va pas chercher du bois elle va choisir la chose
mɛ ɖe a ze ɔ jlo mi a,celui que tu as choisi ne me plaît pas
vi ɔ ɖo yɛ lɛ ze wɛ,l'enfant choisit les images
azɔ̆ ɖ'así tɔ̀n ă,il est au chômage
e mɔ̀ nùɖé wà ă,il est au chômage
nù nɛ́ ɔ́ vɛ́ nú mì,cela m'a choqué
ayì tɔn bà nŭ,il se doutait de quelque chose
é hlɛ́n nŭ nú asɛ́ɛ̀n,il a offert quelque chose nourriture aux asɛ́ɛ̀n
é wà nŭ vlɛ́kɛ́sɛ́,il a fait une chose de peu d'importance
kpo na xɔ nu kpɛɖe,et je vais acheter quelque chose
nu a ze ali ɔ ɖu nuɖe,si tu prends la route mange quelque chose
nù ɖĕ ɖò kpíkpácá mí wɛ̀ ɖò xó mitɔn mɛ̀,il y a une chose qui m'étonne dans ce que vous avez dit
nu ɖopko ɔ wɛ,c'est la même chose
nùɖé wá wé ɖò gbɛmɛ fí hŭn bo tuwun ɖɔ̀ byɔ̀wá wɛ̀,si quelque chose t'arrive dans ce monde il faut savoir que c'est le destin
un ɖò ajiji mɛ̀ bɔ̀ nù ɔ̀ wá mì,je ne m'y attendais pas et la chose m'est arrivée
un tuun nu gege ɖo gbɛ tɔn ji a,je ne connais que peu de choses sur sa vie
vi nyi nu,l'enfant est une chose précieuse
xó ɖé tíín à,as-tu quelque chose à me dire
a nà dó wà nŭ kristáun ɖɔhun wú wɛ̀ a ɖò fí wá wɛ́ à,est-ce pour faire comme les chrétiens
é húzú klistáwun,il s'est converti au christianisme
ayijijɛ ku tɔn,une chute mortelle
bo ɖɔ̀ wèkwín ɖokpó élɔ́ nú mì,dis-moi donc cette lettre-ci
mɛwi elɔ lɛ,ces africains-ci
vi elɔ,cet enfant cet enfant-ci
e dà tú akpó,il a tiré un coup de fusil et il a raté la cible
atínkɛ́n élɔ́ nɔ́ yá wŭ hu akpà,ce médicament cicatrise vite les plaies
e yì sɛ́xwé,il est allé au ciel
sunvi lɛ ɖo kikɛn wɛ ɖo jixwe,les étoiles brillent dans le ciel
xɛ ɔ́ ɖò àgà dɔ̀n vwéé,l'oiseau est très haut dans le ciel
eo azɔnunu ɖokpo,non une cigarette
xwe wo ɖie ɔ yewunkɔnnyiɖowuxwe ɖokpo ɖo ali elɔ ji,il y a dix ans il y avait un cinéma dans cette rue
billy kpɛvi ɔ e ɖo xwe tennɛ bɔ carol ɖo xwe atɔɔn,le petit billy a déjà neuf ans et carol a cinq ans
karol ɖo xwe atɔɔn,carol a cinq ans
sɔ́ kpɔ́wun wè d'é jí,ajoute cinquante francs
un ná kpɔ́wun wɛ̆nɛ̀,je donne trois cent cinquante francs
e ná gbo ada n'í,on va le circoncire
nyaví élɔ́ kó gbò cɔn tɔ̀n ă,cet enfant n'est pas encore circoncis
o mi na ɖɔ xo ɖo adagbigbo sunnu lɛ tɔn ji,oh nous allons parler de la circoncision des hommes
é dán gbɔ̀n fí,il a circulé par ici
e ɖò dò dɔ̀n nú tɔ ɔ́,il est au fond de la citerne
yovozɛntin kpodo kletin kpo nɔ su ɖo yozo to mɛ,l'oranger et le citronnier poussent dans les pays chauds
azɔn ɖokpó ɔ́ nyɔ̀ɖaxó ɔ́ jɛ̀ nukúnnú mɔ́ jí,aussitôt le vieillard commença à voir clair
é hɔ́n wĕ,il fait clair
fí bì zàwé,il fait bien clair
gbe tɔn zìn,sa voix est claire
gbɛmɛ zàwĕ,il fait clair
mɛ jɛ̀ ká wɛ̀,il a le teint clair
sin ɔ we,l'eau est claire
sunhwlehwle ɖie,il y a clair de lune
xɔ ɔ mɛ́ zàwĕ,il fait clair dans la chambre
xo tɔn mɛ wé ă,il n'est pas clair
đɔ̀ xó ɔ́ bó gbò hɔ̀n ná,exprime clairement ta pensée
wă ɖɔ̀ xó ɔ́ xéɖéxéɖé má sè,viens me dire clairement l'affaire que je sache
đa tɔn jò,ses cheveux sont clairsemés
e tùn hɔn ɔ́ ɖ'ádàn wú,il a claqué la porte violemment
azɔmɛxɔ azɔmɛvi lɛ tɔn nyɔ ɖɛkpɛ,la classe des élèves est belle
etɛ mi nɔ mɔ ɖo azɔxɔ ɔ mɛ,que voyez-vous en classe
mi nɔ yi azɔxɔ mɛ bo na ɖo kplɔn wema,nous allons en classe pour étudier
sú hɔ̀n bo dó gan mɛ̀,ferme la porte à clé
é ɖò myɔ tá wɛ́ nyɛ́wúnnyɛ́wún,il allume une lampe clignotante
é nɔ zaan ɖé din ɔ́ gan ná xò,il reste un peu et la cloche sonnera
gan wewe xo ɖo gletoxo mɛ,midi sonne au clocher du village
e ɖo na blo kpa ɖo xwe ɔ,il faudra entourer la maison d'une clôture
gan wɛ blo hunjɛn lɛ bɔ ye ɖo ko jɛ wɛ,les clous sont en fer et ils rouillent
e ká agbaza jezú tɔn ɖ'aklúzú jí,on a cloué le corps de jésus sur la croix
nɔ ce'sísí wɛ̀,c'est la co-épouse de ma mère
mi ɖo agɔnkɛ ɖu wɛ,nous mangeons des noix de coco
ye yi agɔnkɛ j'ayi lɛ bɛ gbe,ils vont ramasser les cocos tombés
mɛ nyi mɛ ɖo agɔnkɛtin ɔ gwlɛ lɛ,quelles sont les personnes qui sont sous le cocotier
un kɔn ami ɖo nu ɖa gannu ɖaxo mɛ bo ze ɖo ado ji,dans une grande cocotte je mets l'huile à chauffer
é hɛ̀n hŭn nú mì,cela me tient à coeur
é tuwùn wèmá tɔ́n dó ta mɛ̀,il sait sa leçon par coeur
kpódó ayi towe bì kpán,de tout ton coeur
un sɔ́ ayi ce jé nú wè,je te donne mon coeur
xomɛ kɛɖɛ́ wɛ̀ ɖò sinsin mi wɛ̀,je n'ai que de la colère au coeur
e nyà glŏ mì,il m'a cogné
e yà glŏ mì,il m'a cogné
a blă ɖa ɖagbe,tu es bien coiffé
ta nɔ ɖo te bɔ e nɔ xwe aza nu koli a,on ne laisse pas la tête pour coiffer le genou a tout seigneur tout honneur
a ɖŏ ɖa ɖagbe,ta coiffure est belle pour un homme
đabiblá tówé nyɔ́ ɖɛkpɛ̀,ta coiffure est belle pour une femme
é ɖò gɔngɔn mɛ̀,il est dans un coin
e ɖò gogwe mɛ̀,il est dans le coin
é ɖò nùswé,il est dans le coin
zé é nyì zwe mɛ̀,jette-le dans un coin
nùkpédónùnú wɛ̀,c'est une coïncidence
cuku ɔ wa agun ɔ tɛntin kpodo xomɛsinsin kpo,le chien est venu au milieu de la foule en colère
é dó gbe kaɖakaɖa nú mì,il m'a parlé avec colère
e nɔ́ yá wŭ sin xomɛ̀,il se met vite en colère
hwetɛnu a sin xomɛ,quand t'es-tu mis en colère
nɛ a sin xomɛ gbɔn,comment t'es-tu mis en colère
un tuun nuɖe zɔn xomɛsinsin yetɔn a,j'ignore la cause de leur colère
xomɛ gblé è,il se mit en colère
xomɛ kɛ́ɖɛ́ wɛ̀ ɖò sinsin mi wɛ̀,je n'ai que de la colère au coeur
xomɛ sin we à - ɛɛn un sin xomɛ dó wŭ we dín,tu es en colère - oui je suis très en colère contre toi
xomɛ nɔ wlí mì,j'ai la colique
nukún tɔ́n tlɛ́,son oeil est collé
e ɖíɖá xó bó jɛ̀ toxomɛ̀,il a colporté l'histoire en ville
é nɔ́ jlá nŭ,elle colporte des marchandises
a ma mɔ̀ fí do è un yi jɛ̀ có bó lɛ́ kɔ é à,as-tu vu en combien d'endroits je suis allé avant de revenir
akwɛ́ nabí ká ná kpé wè,combien d'argent te faudra-t-il
azăn nabí é ká ná xɔ̀,combien de jours cela durera-t-il
azɔn nabi,combien de fois
bì nyí nabí,ça fait combien
ɛɛn nabí a nă,oui combien donnes-tu
ganxixo nabí mɛ̀ a na wă,dans combien d'heures viendras-tu
lyónɔ nabí a nɔ sà,marchande d'akassa combien le vends-tu
mi mɛ nabi wɛ ɖo xwe mitɔn gbe,combien êtes-vous à la maison
nabi a na,combien donnes-tu
nábí a nɔ sà yovózɛn towe,combien vends-tu tes oranges
nabí a nɔ yí,combien prends-tu argent
nabí e nɔ sà,combien le vend-on
nabí é xɔ̀,combien cela vaut-il
nabí un ɖu dó wè,combien te dois-je
nabí wɛ̀ gbadé ɔ́ gannú tɔ́n xɔ̀,combien vaut le maïs
sin hwetɛnu mi ɖo enɛ ɔ blo wɛ,depuis combien de temps faites-vous cela
vĭ nabí a jì,combien d'enfants as-tu eu
vi nabi e ɖo,combien a-t-il eu d'enfants
wɔ̀xúxú nabí gbé ɖíè - wɔ̀xúxú ɖɔ̌la wĕwè gbe wɛ̀,c'est du pain à combien - ce sont des pains à soixante francs
nyaví élɔ́ nɔ́ vlɛ́ manahɛn dín,cet enfant joue trop la comédie
axizɔ́n wὲ,c'est une chose commandée au marché
nyì măwù sɛ́n lɛ́,observe les commandements de dieu
azɔ̆ ɖĕ a zɔ̀n mí ɔ́ un kó bló hŭn,j'ai pourtant fait le travail que tu m'avais commandé
e zɔ́n azɔ̆ mì,il m'a commandé un travail
găn ɖè nɔ́ kp'acɛ ɖò sɛhwɛ é wɛ́ zɔ́n mì,c'est le chef qui commande à sèhouè qui me l'a demandé
yeɖɛ lɛ wɛ e nɔ zɔn,c'est eux-mêmes qu'on commande
a ɖò to ɔ jí wooó ɖɔ́hùn,tu es dans le pays comme l'harmattan on te voit partout
a ma yì gɔ̆n tɔ̀n à ɔ́ é ná hwɛ́n ɖɔ̀ a dó vɛ̀ n'í ɖɔ́hùn,si tu ne vas pas chez lui c'est comme si tu le méprisais
a mɔ̀ nùɖé hŭn nyí mamɔtɔ́,si tu vois quelque chose fais comme si tu ne voyais rien
a na wa nyla hun ye ɖɔhun,tu deviendras méchant comme eux
a nɔ gbɔjɛ́ nyibú'súká ɖɔ́hùn,tu respires comme un taureau brave
acosú ɖésú wɛ́ nyí năwè élɔ́,cette femme est comme un vrai jeune homme plein d'entrain
azɔn tɔn ɖò mɔ̆mɔ̆,sa maladie est comme ci comme ça
blŏ gbɔ̀n lĕ,fais comme ceci
có yì jɛ́n yì bó bló lĕ axɔ́sú ɖɔ́ gbɔ́n lé,il y alla pourtant et fit comme le roi l'avait dit
đĕe a yi bo wa ɔ́ é víví nú mí tlálá,comme tu es revenu je suis très content
ɖa tɔn cí kɛyɛɛ̀ aziza ɖa ɖɔ́hùn,ses cheveux sont ébouriffés comme la chevelure d'azizà
e blo ɖi e kun nɔ mɔ mi o ɖɔhun,il a fait comme s'il ne me voyait pas
é bló ganjí,il a fait comme il convient
é bló mɔ̆ tɔ̀n,il a fait comme ça
é cí ɖɔ̀ é kún tuwun nù ɔ́ ó ɖɔ́hùn,c'est comme s'il ne savait pas cela
e cí mɛ ɖè lɛ́ ɖɔ́hún ă,il n'est pas comme les autres personnes
é ɖà ayikún bó ɖù cɛ́xwlɛ tɔ̀n,elle a préparé du haricot et l'a mangé comme ça sans assaisonnement
e hwɛ́n dɔ̆nkpɛ̀,il est comme un jeune homme
e nɔ mɔ̆,cela suffit comme ça
e su ɖi dada tɔn ɖɔhun,il est grand comme sa sœur
é sú xó hawùn ɖì avùn ɖɔ́hùn,il a crié comme un chien
enɛ́,c'est comme ça
jujɔ ce nɛ́,je suis comme ça
kpɔ́n lĕe azɔ̆ gègé kpó gbɔ́n lé,regarde comme il reste beaucoup de travail
lĕe a ɖɔ̀ gbɔ̀n a ní nyí mɔ̌,qu'il en soit comme tu as dit
lĕe a jló gbɔ́n lé,comme il te plaira
lĕè mì ɖè ɔ̀ ɖíè,voici comme nous sommes on emploie encore cette formule lorsqu'on est en train de manger pour s'excuser auprès d'un visiteur
lĕe nyɛ lin gbɔn e ɔ́,comme j'ai pensé
lĕe tɔ́ cé sɛ́ mí dó ɔ́ mɔ̀ jɛ́n nyɛ lɔlɔ́ mɔ̀ sɛ́ mi dó,comme mon père m'a envoyé moi aussi je vous envoie
mɔ̀ ká wɛ̀,c'est comme cela
mɔ̆ un jɔ̀,je suis comme ça
mɔ̆ wɛ̀,c'est comme cela
mɛ mɔhún kpítí ă,des personnes comme celle-là ne sont pas très nombreuses
nu jɛ́n wɛ̀ ɖè zanu ɖɔ́hùn,il est bavard comme quelqu'un de za
nù nyí mɔ̆,c'est comme cela
nyɔ̀nú lɛ́ mɔ̆ wɛ̀ yĕ jɔ̀,les femmes sont comme ça
un ɖò kɛ́n ɖokpó,je suis comme ci comme ça
un ɖò kɛ́n ɖokpó agɔnkɛ́tín ɖɔ́hùn,je suis comme-ci comme-ça comme un cocotier
xɔ gbakun ɖokpo nu mi ɖi enɛ ɔ ɖɔhun,achète-moi un chapeau comme celui-là
sín hwenu ɖĕ mì kplé ɔ ́ é wɛ́ ɖɔ̀ xó káká jɛ din,depuis le commencement de la réunion il n'a pas cessé de parler
ama lɛ́ ɖò zinzɔ́n wɛ̀,les feuilles commencent à s'épanouir
ayĭ ɖò kinkɛn wɛ̀,il commence à faire jour
aziín jɛ̀ lă,l'arachide a commencé à faire des fleurs
e jɛ̀ azɔ tɔn wa jí,il a commencé son travail
e jɛ̀ susu jí,il commence à grandir
gbɔ̆nvɛ lɛ́ jɛ̀ yè mɛ́ jí,les guêpes commencent à les piquer
hwetɛ́nu mi ná jɛ̀ nùwíwá ɔ́ jí,quand allez-vous commencer la cérémonie
jì wlí,la pluie a commencé
mi ɔ jan bɛ hwɛ mɛvo,nous allions commencer sans toi
mi su hɔn ɖee ji ɔ bɛ ɔ,nous avons fermé la porte quand la pluie a commencé
un jɛ̀ nù mɔ́ jɛ́ mɛ́ jí,je commence à comprendre
zăn bɔ̀,il commence à faire nuit le moment qui suit le crépuscule
a ɖò ganjí à,comment vas-tu
a nɔ bló gbɔ̀n alɔkpa e jló wé é,tu fais n'importe comment
a tuwùn le e nɔ zán gbɔ́n ɔ́ à,sais-tu comment l'utiliser
é kán byɔ́ ɖɔ̀ nɛ̆ a nɔ nyí ájí,il a demandé comment tu t'appelles
e nɔ yì toxɔ́sú gɔ́n kplikplì ă,on ne va pas chez le chef n'importe comment
é sún manamana ɖó xó ɔ́ wú,il ne sait plus comment se tirer d'affaire
enyí towe wɛ ɔ́ nɛ ̆ a na bló gbɔ̀n,si c'était à toi comment ferais-tu
ján nɛ̀ tɔ́ tówé nyí - tɔ́ cé nyí daá nɔ ce ɔ́ nyí nănà,jean comment s'appelle ton père - mon père s'appelle daá ma mère s'appelle nănà on ne livre pas ainsi le nom des siens
kplɔ́n mì lĕe un na bló gbɔ̀n bó ná jɛ̀ gùdó tówé lé,apprends-moi comment faire pour marcher à ta suite
lĕè é bló gbɔ́n ɔ́ ɖíè,voici comment il s'y est pris
lĕe é nɔ́ cí gbɔ́n ɔ́ nɛ́,voilà comment il est
nɛ a fɔn gbɔn,comment est-ce que tu t'es réveillé
nɛ̆ a jlo na ylɔ́ vì tówé ɖɔ̀,comment veux-tu appeler ton enfant
nɛ̆ a ka lin gbɔ̀n,comment as-tu pensé
nɛ e nɔ nyi,comment s'appelle-t-il
nɛ̆ e nɔ ylɔ́ ɛ́ ɖɔ̀,comment s'appelle-t-il
ne e no wa xwe towe gbe gbon,comment venir chez toi
nɛ mɛ towe lɛ fɔn gbɔn,comment va la famille
nɛ mi ɖe gbɔn,comment allez-vous
nɛ wɛ azinzɔnnɔ ɔ ka ɖe,comment va donc le malade
nɛ̆ wɛ̀ nyì tɔ́n nyí,comment s'appelle-t-il
nɛ̀ yí gbɔ́n wɛ̀ nù lɛ́ ká ɖè,comment vont les affaires
patrick wɛ nɛ a fɔn gbɔn,c'est patrick comment ça va
un nu sìn égbé tɔ̀n,ça va aujourd'hui demain je ne sais comment je serai
yé ɖù to ɔ kwɛ́ dó yacó mɛ̀,ils ont dépensé l'argent de l'état n'importe comment
é nɔ́ wà gbadé'jɔ́,il fait le commerce du maïs
e víví há ɖésú,il est d'un commerce très agréable
nyɔ̀nú élɔ́ ajɔ nɔ myá nukún n'í,cette femme a la passion du commerce
afɔ wɛ̀ é dó gbĕ,elle a commis l'adultère
é d'áfɔ gbĕ,elle a commis l'adultère
hwɛ tɛ́ nya élɔ́ hù,quelle faute cet homme a-t-il commise
akpálwe kpódó logozo kpán kpé dó gle ɖokpó,la perdrix et la tortue avaient un champ en commun conte
mi na kpé dó wemá élɔ́,vous aurez ce livre en commun
togun e mɛ gbɛtɔ ɖe e bɔ nukɔn yiyi tɔn kpo nyɔna tɔn kpo na tɔn sin mɛ é ɔ̀ é ɖo na ɖo nunɔmɛɖè lɛ do wǔ tɔn,l'individu a des devoirs envers la communauté dans laquelle seul le libre et plein développement de sa personnalité est possible
un sɔ́ xó nɛ́ ɔ́ slé kɔmyɔ́wún cé nukɔntɔn ɔ jí,je le jure sur ma première communion
mi na jla gbɔn internet ji,nous communiquons par internet
gbɛtɔ́ sùkpɔ́ bó ɖò cícící,il y a une foule compacte
e nyɔ́ ɖɛkpe hú há tɔ́n lɛ́ bĭ,elle est plus belle que toutes ses compagnes
fí tɛ́ mɛ towe ɖè ɔ́ ɖè,où est ton compagnon
é jlɛ́ nŭ dó nù wú,il a fait une comparaison
e jlɛ́ mí dó azètɔ́ wù,il m'a comparé a un sorcier
e nyi azɔ̀ cé ɖé ă,ce n'est pas de ma compétence
e tuwùn azɔ́ tɔ̀n,il est compétent
a fɔn bi à,est-ce que tu t'es réveillé complètement
akwɛ́ cé vɔ́ bĭ kpátákpátá,mon argent est terminé complètement
ayi tɔ̀n bì gbà dó,son coeur est complètement troublé
azɔn gbɔ n'i bi,il est complètement guéri
dose kɛ́ɖɛ́ jɛ́n sixú gbɔ̀ jló nɛ́ ɔ́ nú gbɛtɔ́,seul dossé peut répondre complètement à notre désir de bonheur
e cí kpɔnnyɔɔ̀,c'est complètement pourri
é fá bì tyɛ́tyɛ́,c'est complètement froid pour la pâte
é flí zɛ̀n ɔ́ xwè,il a renversé la jarre complètement
e jɛ́ mɛ̀ bĭ,il est complètement rétabli
é tlú lanmɛ n'í bĭ,il est complètement abattu
é vɔ̀ bì klókló,c'est terminé complètement
ɛɛn un fɔn bi,oui je me suis réveillé complètement
tɔ́ cé kpò kàn bĭ,mon père a complètement vieilli
un ɖè nùkún bì sín agɔ̀ ɔ́ mɛ̀,j'ai vidé complètement le grenier
un vɔ̀ găn bĭ,je suis complètement épuisé
a na sɔ́ gi gɔ́ ná,tu compléteras avec de l'akassa
alɔ towe ɖíè,mes compliments
e gɛ́dɛ́ dín,c'est très compliqué
nukanbyɔ ɖe wɛ bo vɛ wu nu mi tawun,c'est une question trop compliquée pour moi
e gɛ́dɛ́ xó ɔ́,il a compliqué l'affaire
é blá axɔ́sú tɔ́n gbé,il complote contre son roi
jezú kɛ́ntɔ́ lɛ́ blá gbĕ tɔ̀n,les ennemis de jésus ont comploté contre lui
mì nà blá sé tɔ̀n,nous allons comploter contre lui
yĕ ɖò xó blá ɖɔ̀ wù cé wɛ̀,ils complotent contre moi
jijɔ tɔn nyɔ́,il a un bon comportement
ninɔmɛ tɛ́ wɛ̀ a ɖò ná ɖó ɖò togun nɛ́ ɔ́ mɛ̀,quel sera ton comportement dans ce peuple
é nɔ́ zán jujɔ nyanya,il se comporte mal
a mɔ nu jɛ mɛ à,as-tu compris
a mɔ̀ nù jɛ́ mɛ̀ ɖĕbŭ ă,tu n'as pas compris
a sè gànjí,tu comprends bien
ayi tɔn gɛ́dɛ́ dó mì,je ne le comprends pas
é dɔ́ fɔngbe ɔ́ xúxú tɔ̀n,il a parlé un fon trop difficile à comprendre
é sè ă,il ne comprend pas
e sìxú mɔ̀ nù jɛ́ mɛ̀ ganjí ă,on ne peut pas bien comprendre
eo un mɔ nu jɛ mɛ ă,non je ne comprends pas
étɛ́ mɛ̀ a mɔ̀ nŭ jɛ̀,qu'as-tu compris
un d'ayì xó ɔ́ mɛ̀,j'ai cherché à comprendre l'affaire
un ma se nɛ́,je n'ai pas compris
un mɔ nu jɛ mɛ a,je ne comprends pas
